u,g,r,i,z,CLASS
19.0971,18.5461,18.6028,18.3547,18.3735,GALAXY
20.5689,18.8874,17.9982,17.5066,17.1195,GALAXY
21.1487,19.3132,18.4171,18.0109,17.7073,GALAXY
19.2696,17.3663,16.5292,16.1119,15.7994,GALAXY
19.0105,18.9072,18.6961,18.4219,18.499,QSO
22.9396,21.3891,19.679,19.1129,18.7198,STAR
19.0391,18.9321,18.8598,18.9606,18.8101,QSO
20.2853,18.4103,17.5482,17.1259,16.7744,GALAXY
20.4989,19.4922,19.0501,18.7939,18.6559,GALAXY
22.061,20.5148,19.458,18.9371,18.536,GALAXY
21.32,19.5747,18.61,18.1997,17.8283,GALAXY
19.6343,17.7427,16.897,16.4917,16.1684,GALAXY
21.5926,20.3,19.6913,19.3012,19.0212,GALAXY
20.5949,19.2561,18.4814,17.9733,17.6421,GALAXY
19.1406,18.7601,18.6474,18.4343,18.4618,QSO
20.6368,19.3927,18.956,18.6606,18.554,GALAXY
20.9183,19.019,17.961,17.5142,17.1713,GALAXY
20.9245,19.2311,18.4174,18.0283,17.734,GALAXY
23.9663,21.9588,20.1988,19.563,19.207,GALAXY
19.9723,19.019,18.695,18.4161,18.3411,GALAXY
18.9513,17.7047,17.207,17.0417,16.9924,STAR
21.0012,19.472,18.508,18.0512,17.7273,GALAXY
20.599,18.9962,18.1904,17.7753,17.4778,GALAXY
18.9524,18.809,18.564,18.5301,18.6529,QSO
21.6025,19.8441,18.5794,18.0673,17.7287,GALAXY
19.8745,19.7881,19.6004,19.4792,19.5296,QSO
20.0192,19.191,19.002,18.8061,18.7917,GALAXY
20.6279,19.31,18.54,18.0472,17.7423,GALAXY
21.4604,20.1496,19.416,19.0586,18.7868,GALAXY
21.0603,19.557,18.8219,18.4548,18.1214,GALAXY
23.9136,22.2446,20.3576,19.6826,19.2242,GALAXY
22.8093,21.3058,19.7549,19.0106,18.55,GALAXY
21.9906,20.029,18.6269,18.0968,17.7835,GALAXY
20.5183,18.9051,18.0899,17.6008,17.2486,GALAXY
21.3503,19.984,19.4129,19.0908,18.8938,GALAXY
21.5049,19.6291,18.3021,17.7999,17.4373,GALAXY
20.3835,18.4811,17.5159,17.0468,16.6906,GALAXY
21.3931,19.909,19.2139,18.7338,18.4203,GALAXY
20.2909,19.5961,18.9931,18.5489,18.378,GALAXY
20.5228,18.5372,17.5321,16.9859,16.5023,GALAXY
19.9452,17.9572,17.0301,16.5799,16.2363,GALAXY
20.972,19.4561,18.7161,18.3089,18.0322,GALAXY
22.0442,20.6769,20.0849,19.8526,19.5856,GALAXY
21.74,20.375,19.441,19.0148,18.6489,GALAXY
20.8982,19.7671,19.256,18.9348,18.6798,GALAXY
20.6317,19.4531,18.9451,18.6519,18.465,GALAXY
20.1476,18.9641,18.5399,18.2368,18.0264,GALAXY
21.8871,19.746,18.4498,17.9287,17.6027,GALAXY
19.9666,18.1391,17.2129,16.7518,16.4146,GALAXY
